,start_pnl,end_pnl,daily_pnl,peak_pnl,max_drawdown,trades
2026-01-28,9230260.776332276,9360287.912173534,130027.13584125787,9360858.392173534,1140.960000000894,22
2026-01-29,9360287.912173534,9358766.632173533,-1521.280000001192,9360287.912173534,1521.280000001192,16
2026-01-30,9358766.632173533,9525461.713582305,166695.08140877262,9525556.793582305,950.8000000007451,16
2026-02-02,9525461.713582305,9667322.069882773,141860.35630046763,9668558.109882774,1236.0400000009686,16
2026-02-03,9667322.069882773,9666371.269882772,-950.8000000007451,9667322.069882773,950.8000000007451,10
2026-02-04,9666371.269882772,10074059.124037437,407687.854154665,10074154.204037437,855.7200000006706,17
2026-02-05,10074059.124037437,10209643.79483464,135584.67079720274,10211545.394834641,1806.5200000014156,24
2026-02-06,10209643.79483464,10769832.350304518,560188.555469878,10770117.590304518,760.640000000596,16
2026-02-09,10769832.350304518,10939852.782001024,170020.43169650622,10940803.582001025,950.8000000007451,16
2026-02-10,10939852.782001024,10938616.742001023,-1236.0400000009686,10939852.782001024,1236.0400000009686,13
2026-02-11,10938616.742001023,11000924.912460765,62308.17045974173,11002065.872460766,1140.960000000894,19
2026-02-12,11000924.912460765,11127987.260421619,127062.34796085395,11129698.70042162,1711.440000001341,21
2026-02-13,11127987.260421619,11126275.820421617,-1711.440000001341,11127987.260421619,1711.440000001341,18
2026-02-17,11126275.820421617,11213609.19235882,87333.37193720229,11213799.35235882,1140.960000000894,15
2026-02-18,11213609.19235882,11529136.294880796,315527.10252197646,11529326.454880796,760.640000000596,18
2026-02-19,11529136.294880796,11656791.75710088,127655.46222008392,11658503.197100881,1616.3600000012666,22
2026-02-20,11656791.75710088,11736233.57073338,79441.81363249943,11736423.73073338,1331.120000001043,17
2026-02-23,11736233.57073338,11808683.29966137,72449.72892799042,11809824.25966137,1140.960000000894,17
2026-02-24,11808683.29966137,11870116.25056648,61432.95090511069,11808683.29966137,1901.6000000014901,21
2026-02-25,11870116.25056648,12066222.534299098,196106.28373261727,12066507.774299098,1045.8800000008196,17
2026-02-26,12066222.534299098,12064511.094299097,-1711.440000001341,12066222.534299098,1711.440000001341,19
